"","si","lambda_1","lambda_2","mu","alpha","c_l_1","c_l_2","c_r_1","c_r_2","c_r","c_h","S","s","PB1","PB2","Sav","RR","RV","TC","PT"
"81",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,27,0.489906654331715,0.135933236185088,0.864066763814912,2.71866472370177,1855.65686404689,215.545759876483,1640.11110417041
"82",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,28,0.461486662611869,0.11947171778608,0.880528282213919,2.38943435572161,1895.68489877487,192.558154487792,1703.12674428708
"83",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,28,0.433116519734082,0.107366941546451,0.892633058453549,2.14733883092903,1926.98698697358,174.907315037955,1752.07967193562
"84",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,28,0.497066682156134,0.134652754308888,0.865347245691112,2.69305508617776,1856.42782084319,214.694708938831,1641.73311190436
"85",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,29,0.468772418146862,0.118367815432294,0.881632184567706,2.36735630864587,1896.0712645987,191.935774340727,1704.13549025797
"86",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,29,0.440697373690182,0.106370553293733,0.893629446706267,2.12741106587466,1927.08454998999,174.446020489888,1752.6385295001
"87",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,29,0.503985576868196,0.133415396089145,0.866584603910855,2.66830792178291,1857.17281360466,213.872319420716,1643.30049418394
"88",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,30,0.475847728726807,0.117295798677756,0.882704201322244,2.34591597355513,1896.44647046279,191.331371294519,1705.11509916827
"89",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,30,0.448086089343386,0.105399418706236,0.894600581293764,2.10798837412472,1927.17964025168,173.99641754703,1753.18322270465
"90",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,30,0.510673587951779,0.132219328533214,0.867780671466786,2.64438657066428,1857.89294594563,213.077373054125,1644.8155728915
"91",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,31,0.482720355104629,0.116254491650814,0.883745508349186,2.32508983301628,1896.81092792221,190.744282392729,1706.06664552949
"92",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,31,0.455288734557844,0.104452740255267,0.895547259744733,2.08905480510534,1927.27233585001,173.55813698018,1753.71419886983
"93",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,31,0.517140377395518,0.131062823714662,0.868937176285338,2.62125647429323,1858.5892582218,212.308721401555,1646.28053682024
"94",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,32,0.48939766441303,0.115242778119238,0.884757221880762,2.30485556238476,1897.16502765827,190.173878303626,1706.99114935464
"95",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,32,0.462311108945782,0.103529755669777,0.896470244330223,2.07059511339553,1927.362711424,173.130825883251,1754.23188554075
"96",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,32,0.523395061099277,0.129944251368237,0.870055748631763,2.59888502736473,1859.26273198871,211.565280934376,1647.69745105433
"97",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,33,0.495886654478976,0.114259597806216,0.885740402193784,2.28519195612431,1897.50914076782,189.619561243144,1707.88957952468
"98",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,33,0.469158758139946,0.102629736060467,0.897370263939533,2.05259472120934,1927.45083834408,172.714146804794,1754.73669153929
"99",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,33,0.529446246828982,0.128862072102119,0.871137927897881,2.57724144204239,1859.91429408852,210.846028521472,1649.06826556704
"100",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,34,0.502193976350377,0.113303942977216,0.886696057022784,2.26607885954431,1897.84361995797,189.080763050554,1708.76285690742
"101",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,34,0.475836987154583,0.101751984163691,0.898248015836309,2.03503968327382,1927.53678488397,172.307776934983,1755.22900794899
"102",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,34,0.535302069050994,0.127814831168228,0.872185168831772,2.55629662336455,1860.5448204008,210.149997288776,1650.39482311202
"103",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,35,0.50832595518627,0.112374855274808,0.887625144725192,2.24749710549615,1898.16880065382,188.556943403937,1709.61185724988
"104",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,35,0.482350872901825,0.100895832696365,0.899104167303635,2.01791665392729,1927.62061638181,171.911407343994,1755.70920903782
"105",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,35,0.540970220941403,0.126801152737752,0.873198847262248,2.53602305475504,1861.15513928914,209.476272814601,1651.67886647454
"106",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,36,0.514288609647345,0.111471422780705,0.888528577219295,2.22942845561411,1898.48500202675,188.047588163762,1710.43741386299
"107",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,36,0.488705275924802,0.100060642813826,0.899939357186174,2.00121285627653,1927.70239539115,171.524742268041,1756.17765312311
"108",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,36,0.54645798383407,0.125819734634741,0.874180265365259,2.51639469269483,1861.746034772,208.823989629404,1652.9220451426
"109",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,37,0.520087669910721,0.110592777286254,0.889407222713746,2.21185554572509,1898.79252794981,187.55220783399,1711.24032011582
"110",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,37,0.494904851403735,0.0992458026632549,0.900754197336745,1.9849160532651,1927.78218182256,171.147498439665,1756.63468338289
"111",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,37,0.551772254343494,0.124869343485515,0.875130656514485,2.4973868697103,1862.3182494431,208.192327991923,1654.12592145117
"112",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,38,0.525728594421314,0.109738091754346,0.890261908245654,2.19476183508693,1899.09166788598,187.0703361311,1712.02133175488
"113",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,38,0.500954059486701,0.0984507260258442,0.901549273974156,1.96901452051688,1927.86003307664,170.779404459098,1757.08062861754
"114",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,38,0.556919569373994,0.123948810246081,0.876051189753919,2.47897620492163,1862.87248716434,207.580510916554,1655.29197624778
"115",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,39,0.531216585481763,0.108906577957309,0.891093422042691,2.17813155914617,1899.38269771494,186.601528652331,1712.78116906261
"116",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,39,0.506857174992591,0.0976748510414994,0.902325148958501,1.95349702082999,1927.93600416885,170.420200203846,1757.51580396501
"117",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,39,0.561906129205052,0.123057026073612,0.876942973926388,2.46114052147224,1863.40941555151,206.987801429392,1656.42161412212
"118",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,40,0.536556603773585,0.10809748427673,0.891902515723271,2.16194968553459,1899.66588050314,186.14536163522,1713.52051886792
"119",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,40,0.512618296529968,0.0969176390102998,0.9030823609897,1.938352780206,1928.01014784691,170.069636273802,1757.94051157311
"120",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,40,0.566737818823375,0.122192938511468,0.877807061488532,2.44385877022936,1863.92966827122,206.413500032672,1657.51616823855
"121",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,41,0.541753381893861,0.107310093652445,0.892689906347555,2.14620187304891,1899.94146722164,185.701430801249,1714.2400364204
"122",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,41,0.518241355072091,0.0961785732654425,0.903821426734557,1.92357146530885,1928.08251470109,169.727473469458,1758.35504123163
"123",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,41,0.57142022765522,0.121355547960318,0.878644452039682,2.42711095920636,1864.43384716556,205.856942359359,1658.5769048062
"124",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,42,0.546811436984232,0.106543721669056,0.893456278330944,2.13087443338112,1900.20969741583,185.269350277014,1714.94034713882
"125",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,42,0.523730122025216,0.0954571581127864,0.904542841887213,1.90914316225573,1928.15315326812,169.39348230095,1758.75967096717
"126",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,42,0.575958667837296,0.120543904410618,0.879456095589382,2.41087808821235,1864.92252421944,205.317497001444,1659.605027218
"127",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,43,0.551735082522217,0.105797714769361,0.894202285230639,2.11595429538722,1900.47079983072,184.848751586966,1715.62204824376
"128",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,43,0.529088216824402,0.0947529178324991,0.905247082167501,1.89505835664998,1928.2221101289,169.067442525853,1759.15466760305
"129",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,43,0.580358191151124,0.119757104414106,0.880242895585894,2.39514208828212,1865.39624338401,204.794563497095,1660.60167988691
"130",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,44,0.55652843933875,0.105071448585038,0.894928551414962,2.10142897170076,1900.72499299524,184.439282712244,1716.28571028299
"131",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,44,0.534319114088414,0.0940653957386531,0.905934604261347,1.88130791477306,1928.28943000059,168.749142713805,1759.54028728679
"132",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,44,0.584623604733639,0.118994288274163,0.881005711725837,2.37988576548326,1865.85552226826,204.287570463284,1661.56795180498
"133",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,45,0.561195445920304,0.104364326375712,0.895635673624288,2.08728652751423,1900.9724857685,184.040607210626,1716.93187855787
"134",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,45,0.539426150362922,0.0933941532929346,0.906605846707065,1.86788306585869,1928.3551558234,168.438379836186,1759.91677598721
"135",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,45,0.588759485666104,0.118254637436762,0.881745362563238,2.36509274873524,1866.30085370995,203.79597386172,1662.50487984823
"136",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,46,0.56573986804901,0.103675777568332,0.896324222431668,2.07351555136664,1901.21347785108,183.652403393025,1717.56107445806
"137",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,46,0.544412530478984,0.0927387692689176,0.907261230731082,1.85477538537835,1928.41932884242,168.1349588792,1760.28436996322
