"","lambda_h","lambda_l","mu_f","mu_s","K_l","K_h","alpha","r_h","r_l","PB_l","PB_h","RJ","N_h","N_l","W_l","W_h","TC"
"25",25,35,30,20,10,10,0.7,3,5,0.294081816223965,0.0463641272309416,4.53216441970446,4.55345405963336,8.2545699047648,0.166487171286397,0.173693485450891,26.4840017619233
"26",25,35,30,20,10,10,0.7,3,6,0.298511109693197,0.0454137830221894,4.24992181155525,4.4747277480398,8.3204105911106,0.166762159784433,0.170860537320278,26.5797271190467
"27",25,35,30,20,10,10,0.7,3,7,0.305507858726389,0.0439405287773965,3.81238021695428,4.35268368057041,8.40271966101906,0.166732079140086,0.166456978321816,26.7371461782824
"28",25,35,30,20,10,10,0.7,3,8,0.31672079298424,0.0416039286358427,3.11843363204284,4.15912022312057,8.49976357942533,0.165934620524891,0.159443379286799,26.9947642622121
"29",25,35,30,20,10,10,0.7,3,9,0.335235962366739,0.0377675880056412,1.97907930626803,3.84131858340855,8.60348434180198,0.163408199679166,0.147849649830079,27.4248025140457
"30",25,35,30,20,10,10,0.7,3,10,0.283127239053459,0.0311037941521673,5.41823289867445,3.2892913216308,8.69004945795227,0.177990278505264,0.127479275258252,24.9856412928737
"31",25,35,30,20,10,10,0.7,4,1,0.268302159146779,0.058741324040667,5.66912709882106,5.2674960400813,8.01549741551232,0.167569204351284,0.198323053932318,26.193653971358
"32",25,35,30,20,10,10,0.7,4,2,0.269036133751514,0.0583827276797486,5.59557029561099,5.24182887604567,8.03568397240051,0.167822703554767,0.197431864329266,26.1807859321341
"33",25,35,30,20,10,10,0.7,4,3,0.270341827089219,0.0578773345033219,5.4919019083275,5.20565447224354,8.0681076287627,0.168198876321444,0.196174602681791,26.1816409352998
"34",25,35,30,20,10,10,0.7,4,4,0.27246480213276,0.0571479708267868,5.34229174416946,5.15344898672406,8.11462878317928,0.168676515925415,0.194357593374937,26.1995654519345
"35",25,35,30,20,10,10,0.7,4,5,0.275792603011884,0.0560757913500498,5.12236175220233,5.07670585850444,8.17720639129057,0.169199810150604,0.191681022401495,26.240364115898
"36",25,35,30,20,10,10,0.7,4,6,0.280948007579294,0.0544723435529196,4.79345575391199,4.9619362676304,8.25747643902436,0.169644425309929,0.187665918822894,26.3138092022136
"37",25,35,30,20,10,10,0.7,4,7,0.288966048196976,0.052026668947311,4.29178862817788,4.78688281444092,8.35590029899059,0.169752251727524,0.181513489878577,26.4365277521861
"38",25,35,30,20,10,10,0.7,4,8,0.301660114377134,0.0481960257581699,3.5060308850986,4.51269780362299,8.469995206223,0.168998156672571,0.171808148161629,26.6379907158591
