"","lambda_h","lambda_l","lambda_tilda","mu","mu_f","mu_s","alpha","r_h","r_l","gamma","piSum","RJ","N_h","N_l"
"47",45,15,8.86813816419993,0.75,60,15,0.5,10,12,0.591209210946662,0.740792572177376,1.58942413422145,3.44104866618213,23.6577168905639
"48",45,15,8.86813816419993,0.75,60,15,0.5,10,13,0.591209210946662,0.828654091326506,1.05066943811548,3.29154984141012,30.8537229007141
"49",45,15,8.86813816419993,0.75,60,15,0.5,10,14,0.591209210946662,0.891093965448314,0.667796756955808,3.18530665451191,38.268397463034
"50",45,15,8.86813816419993,0.75,60,15,0.5,10,15,0.591209210946662,0.932623409571073,0.413143943477468,3.11464314732568,45.7635626022303
"51",45,15,8.86813816419993,0.75,60,15,0.5,10,16,0.591209210946662,0.959041707167471,0.251150592679311,3.06969167731484,53.3278020546056
"52",45,15,8.86813816419993,0.75,60,15,0.5,10,17,0.591209210946662,0.975374029928025,0.151003046053901,3.04190177472557,61.010987157133
"53",45,15,8.86813816419993,0.75,60,15,0.5,10,18,0.591209210946662,0.985293305919463,0.0901794161632285,3.02502385003601,68.8792777895079
"54",45,15,8.86813816419993,0.75,60,15,0.5,10,19,0.591209210946662,0.991252841615818,0.0536363666676673,3.01488353387235,76.9935299707004
"55",45,15,8.86813816419993,0.75,60,15,0.5,10,20,0.591209210946662,0.994810098801537,0.0318237570904254,3.00883076157991,85.4022665458528
"56",45,15,8.86813816419993,0.75,60,15,0.5,10,21,0.591209210946662,0.996925179237868,0.0188543760832433,3.00523189324037,94.1414327763057
"57",45,15,8.86813816419993,0.75,60,15,0.5,10,22,0.591209210946662,0.998179856855534,0.0111608662832462,3.00309702428835,103.23654086036
"58",45,15,8.86813816419993,0.75,60,15,0.5,10,23,0.591209210946662,0.998923115815043,0.0066033050353165,3.00183234844364,112.705216225322
"59",45,15,8.86813816419993,0.75,60,15,0.5,10,24,0.591209210946662,0.999363056620118,0.00390564880266097,3.00108377689645,122.55941661572
"60",45,15,8.86813816419993,0.75,60,15,0.5,10,25,0.591209210946662,0.999623335434818,0.00230965507213865,3.0006409052356,132.807150146006
"61",45,15,8.86813816419993,0.75,60,15,0.5,10,26,0.591209210946662,0.999777278251372,0.00136569899041691,3.00037896724067,143.453727707346
"62",45,15,8.86813816419993,0.75,60,15,0.5,10,27,0.591209210946662,0.999868312898049,0.000807487114719056,3.00022406925093,154.502644307646
"63",45,15,8.86813816419993,0.75,60,15,0.5,10,28,0.591209210946662,0.999922141193959,0.000477419441347499,3.00013247890449,165.956185369549
"64",45,15,8.86813816419993,0.75,60,15,0.5,10,29,0.591209210946662,0.999953967696119,0.000282263727379164,3.00007832522361,177.815837301519
"65",45,15,8.86813816419993,0.75,60,15,0.5,10,30,0.591209210946662,0.999972784767399,0.000166880046137588,3.00004630745213,190.082562307708
"66",45,15,8.86813816419993,0.75,60,15,0.5,10,31,0.591209210946662,0.999983909925353,9.86621146636682e-05,3.00002737768565,202.756980665231
"67",45,15,8.86813816419993,0.75,60,15,0.5,10,32,0.591209210946662,0.999990487337287,5.83303334438674e-05,3.00001618603584,215.839490735786
"68",45,15,8.86813816419993,0.75,60,15,0.5,10,33,0.591209210946662,0.999994376004381,3.44855641000881e-05,3.00000956936035,229.330347491649
"69",45,15,8.86813816419993,0.75,60,15,0.5,10,34,0.591209210946662,0.999996675034367,2.038822986721e-05,3.00000565749672,243.229713621734
"70",45,15,8.86813816419993,0.75,60,15,0.5,10,35,0.591209210946662,0.999998034247028,1.2053725626662e-05,3.00000334475848,257.537692635595
